name;price;profit_pct
Share-ATAE;16580;24.47
Share-FTJN;27520;16.79
Share-WTPW;19890;25.23
Share-HITN;670;33.49
Share-ADLV;18900;4.72
Share-CWIL;46200;1.19
Share-VBQT;25730;35.61
Share-XQQA;26780;9.35
Share-QSOQ;30150;0.71
Share-WIWE;10650;8.88
Share-FRBU;30130;9.56
Share-IYKD;1080;13.02
Share-EPCT;3910;15.96
Share-JIZL;48750;4.23
Share-ACQS;32620;1.61
Share-YUTW;16280;35.71
Share-YHEL;2510;10.08
Share-HPSH;19770;33.17
Share-NVXL;25660;19.29
Share-ZFQR;21740;38.74
Share-GYNX;30960;38.27
Share-XXLC;45120;14.14
Share-TLJJ;28650;13.75
Share-RUPP;40980;5.4
Share-SXZH;39350;8.81
Share-DSHU;23120;29.08
Share-OLUI;30680;27.29
Share-FXZS;0;30.03
Share-SFMP;9480;17.94
Share-VVDF;5120;25.56
Share-YVUQ;39980;18.8
Share-FIWE;42560;9.34
Share-NKEK;19010;25.8
Share-QEDS;3780;13.74
Share-SWES;35400;28.86
Share-XMLZ;29500;24.46
Share-DRXI;37420;38.05
Share-BKOT;22900;29.4
Share-QDFN;4260;20.6
Share-NLNW;8950;8.85
Share-MKTB;33420;17.53
Share-FEMI;15240;36.37
Share-ZQDO;34640;10.06
Share-CVOW;0;6.42
Share-GBMB;41910;11.82
Share-ZUWA;17840;32.2
Share-VUOS;20140;33.88
Share-RTTA;27780;3.26
Share-SQQK;22580;32.51
Share-GROK;28160;8.05
Share-RWWJ;46300;0
Share-YPRZ;41820;18.21
Share-EDPH;22430;9.4
Share-LJDU;39860;37.22
Share-JKRC;18580;16.25
Share-QCRM;26910;16.97
Share-PKXQ;41390;9.75
Share-DBMG;37070;38.12
Share-DFKO;29280;24.73
Share-LOJD;22470;19.19
Share-SFMQ;39610;5.27
Share-TMYW;22410;15.97
Share-WPYY;42880;13.95
Share-EDBI;22920;32.72
Share-WJZQ;16280;1.25
Share-MGCH;25720;22.28
Share-GFKM;24370;36.16
Share-JLNT;19740;9.74
Share-ZIZN;40690;17.32
Share-FVVN;33300;4.3
Share-TTVT;35430;25.51
Share-EMOV;8890;39.52
Share-ZWPI;21500;39.02
Share-KKAD;14660;32.19
Share-GMPX;30860;7.59
Share-JHKR;18300;25.25
Share-QIGP;35590;22.63
Share-RUMG;34340;7.42
Share-EPWT;9540;8.07
Share-FJIK;28320;34.49
Share-ETNQ;48780;11.38
Share-OZCM;36690;30.53
Share-KZLV;18430;4.01
Share-ZLGB;39410;36.67
Share-ZSPZ;22300;18.9
Share-RQNB;20120;26.73
Share-UNOG;43840;18.65
Share-GZHU;33020;24.56
Share-QPFG;9520;32.39
Share-IVRI;27350;38.76
Share-GHNY;28450;17.58
Share-XABA;0;27.91
Share-MEPT;37140;30.4
Share-OTBX;16840;5.86
Share-ODFR;30140;11.81
Share-QPRB;32060;5.19
Share-QAIJ;31420;33.11
Share-OKTW;24150;24.26
Share-KYHO;37050;29.07
Share-ONTS;14170;15.48
Share-JWXV;47280;7.33
Share-TJBP;28500;28.54
Share-YHLS;6110;5.79
Share-ZNIY;20380;24.97
Share-XPZF;35010;33.65
Share-ODXT;12750;18.69
Share-VQHA;6930;14.16
Share-IDWW;26580;22
Share-TVOJ;9390;23.34
Share-NMYP;0;11.43
Share-VNQN;1170;18.51
Share-FVTC;25280;23.61
Share-RSQE;45640;26.22
Share-TCMQ;15360;11.69
Share-UPTV;7590;20.07
Share-LSFE;17510;31.47
Share-TTLC;30690;38.68
Share-WMOU;29000;34.42
Share-QJZG;34680;19.21
Share-PSZU;25800;13.44
Share-GCAZ;48580;3.23
Share-KZBL;28990;39.14
Share-ZTDP;33380;6.81
Share-XBIG;34110;0.37
Share-MXMO;23990;15.87
Share-OMOF;30800;18.36
Share-NWSG;38030;15.32
Share-LGSU;46790;18.58
Share-GLFC;16630;4.45
Share-PAXZ;7220;0.82
Share-QSPX;600;35.15
Share-ZGFE;20760;22.46
Share-WCNO;17130;32.27
Share-BHYK;25290;17.91
Share-VGFO;17830;31.39
Share-FUUQ;32330;3.69
Share-VEEM;9470;15.79
Share-YVIJ;3940;29.38
Share-ZEPQ;29270;30.6
Share-EINI;20130;13.01
Share-LRBZ;32900;39.95
Share-NYHH;12510;6.57
Share-CBNP;37330;11.56
Share-JXTU;0;14.86
Share-ZOIW;15060;25.6
Share-GSPE;48990;11.65
Share-IZCN;31520;12.4
Share-XLQI;31330;32.56
Share-BDMW;48510;19.39
Share-HCCK;20580;3.21
Share-DWFW;15170;16.53
Share-TDXX;30930;14.84
Share-ZXSD;44620;21.01
Share-MKZB;6970;33.89
Share-XRZR;14780;6.37
Share-XPEO;31130;27.06
Share-QDBT;23680;17.58
Share-CPNV;28840;6.96
Share-QFPK;11960;9.51
Share-CXDL;27890;14.17
Share-MMFR;37780;38.54
Share-MYPQ;14100;6.55
Share-EZLR;17590;19.71
Share-QJZD;47580;22.72
Share-YDJK;25790;12.25
Share-ZSRN;31700;4.62
Share-IMGN;30720;33.04
Share-HPQO;5030;34.97
Share-KYUG;15060;1.42
Share-YZOF;9650;12.6
Share-KPMF;39440;22.13
Share-RBTN;0;33.06
Share-CBTR;36810;5.71
Share-JGEU;27080;25.8
Share-SIRR;34390;26.68
Share-TECI;30900;12.34
Share-NFGO;38330;36.59
Share-XJMO;9390;39.98
Share-IFPU;35660;20.67
Share-SNKS;16750;39.04
Share-GKRC;19280;27.34
Share-XZNX;34590;3.14
Share-XRNJ;26540;21.03
Share-OGGC;25250;17.07
Share-TNHW;45800;6.23
Share-YMIE;18310;12.75
Share-LKBB;8280;13.4
Share-IQED;33120;34.59
Share-LFLL;15170;9.49
Share-OJRZ;31680;1.1
Share-IKCF;3370;5.17
Share-RNBA;19470;6.23
Share-YZFJ;34750;11.89
Share-RGDB;23950;24.47
Share-UEIV;33410;30.66
Share-VQPV;20900;21.01
Share-OHHU;40430;38.01
Share-AXIX;36820;20.38
Share-KOUD;35090;35.93
Share-NALT;48960;11.63
Share-NHKZ;30690;0.98
Share-NKUT;34400;24.93
Share-GPGM;47400;19.93
Share-NFNZ;25770;18.88
Share-NVDR;1990;16.54
Share-NQIL;13370;24.4
Share-VTWL;5980;21.69
Share-JEQJ;25730;23.34
Share-IXSO;19700;28.29
Share-HGVJ;26200;24.94
Share-AIQL;25690;33.68
Share-KYXI;29070;31.36
Share-SIVL;26310;23.06
Share-GJMI;25090;30.39
Share-OLCV;38970;13.15
Share-SLZZ;14870;29.76
Share-RDQM;30610;1.66
Share-UOZD;21170;30.86
Share-MOXN;31290;1.79
Share-XKAM;47010;38.1
Share-GGLB;31580;35.12
Share-GEYL;24680;18.23
Share-CIYW;20930;16.45
Share-EIZH;27730;14.51
Share-MPUS;30960;27.33
Share-YUVN;15090;13.82
Share-PEAZ;15720;32.53
Share-MWDM;11970;2.81
Share-LSZT;34900;39.19
Share-CBNY;1220;39.31
Share-HMVR;15620;16.57
Share-LGHI;21640;24.62
Share-VCWF;24710;28.83
Share-CGUS;8270;37.38
Share-REMR;26840;32.94
Share-MXBC;15260;13.02
Share-ZDHV;16640;10.3
Share-AVUV;11650;11.66
Share-WVTR;35990;29.65
Share-MLVQ;36230;8.13
Share-NCFR;25400;3.06
Share-LFGX;25040;9.84
Share-HQDA;25280;7.95
Share-UMGT;5970;1.28
Share-WITL;38650;6.37
Share-XOBN;34060;2.33
Share-AHYU;20990;5.34
Share-YLHV;43010;35.12
Share-BTKZ;17550;36.72
Share-YEYV;32670;2.59
Share-BGVK;18270;9.33
Share-OFWH;30000;11.97
Share-XKFR;42850;13.22
Share-SNUW;44480;8.52
Share-QWHX;45370;31.39
Share-TZIJ;25620;1.75
Share-ILTN;23800;2.45
Share-TIRJ;29330;12.78
Share-URMZ;34990;38.89
Share-FZFY;33030;3.98
Share-UTIJ;20360;24.11
Share-PFEQ;26950;12.54
Share-LNBX;32120;24.04
Share-BORU;34600;23.87
Share-QOYO;12930;36.43
Share-BAPF;37140;10.33
Share-RJIB;21220;34.07
Share-ICKP;26650;19.6
Share-DPMV;40440;9.19
Share-EWGU;0;34.27
Share-MIOT;20910;29.35
Share-GSDZ;44290;11.37
Share-GOEX;38410;20.84
Share-IHOT;10470;24.64
Share-GIAJ;10750;39.9
Share-OTFE;29230;15.95
Share-HMCY;39530;34.81
Share-UMCH;21510;23.28
Share-QQBR;29900;16.44
Share-WJZJ;38960;26.3
Share-CESY;0;26.25
Share-OGLE;41900;10.45
Share-MNMP;36640;10.47
Share-KGQI;230;18.91
Share-JGPU;26210;24.23
Share-LBSY;31980;23.16
Share-EMCQ;6370;20.46
Share-GHFD;13560;22.81
Share-ESFE;13500;4.44
Share-EJLA;25250;22.63
Share-JJNV;38710;14.41
Share-DIGK;32320;11.87
Share-NYKV;15380;30.95
Share-DDWA;40890;11.73
Share-SLGB;9770;21.69
Share-HYNU;47390;8.61
Share-KZFS;9730;10.84
Share-THCY;39050;6.32
Share-SIZB;6130;23.12
Share-TUQB;19320;15.61
Share-NTQC;30850;17.09
Share-HYMY;26400;34.84
Share-VXCW;0;5.87
Share-JYBM;24650;38.04
Share-VGRH;34980;9.17
Share-PSVO;0;15.5
Share-NBSA;33830;34.41
Share-OFJC;24830;3.66
Share-JWVH;1710;10.41
Share-PEQK;34630;24.37
Share-WAQC;21710;22.7
Share-ZEIM;31250;16.18
Share-RPXU;13750;26.64
Share-DTZY;35960;19.34
Share-LHKD;34450;16.51
Share-YRSC;47000;38.3
Share-MZLJ;23200;17.43
Share-YECK;32660;29.22
Share-SZEE;36550;23.72
Share-MTJQ;41490;25.62
Share-PBXL;5460;36.76
Share-BMTW;27230;16.76
Share-YPHD;5720;9.91
Share-TXHQ;8970;36.74
Share-KAUS;42960;29.36
Share-BFRJ;43430;17.65
Share-NDNV;8190;34.97
Share-GNLH;11860;23.48
Share-WMQI;39870;23.15
Share-ARZU;0;9.01
Share-MDAT;41400;35.95
Share-QBZY;40000;33.6
Share-YHNK;35090;11.16
Share-DGFR;37130;32.1
Share-FVCW;14480;4.94
Share-JREW;9930;15.05
Share-NOLN;22650;1.2
Share-DSKL;38680;20.93
Share-LHLG;42980;28.34
Share-HJJZ;17540;6.56
Share-URDO;32800;12.91
Share-URKJ;28320;36.08
Share-JSDR;21660;27.61
Share-KMDP;32230;22.12
Share-TGMY;44930;2.02
Share-RCCP;2090;35.32
Share-GQZA;5860;12.81
Share-EQFF;18750;6.05
Share-QQTU;33190;39.6
Share-LWHP;32000;29.24
Share-SRHN;26360;34.08
Share-SORI;7970;20.13
Share-TQVQ;4410;11.48
Share-UIWH;30410;24.69
Share-PJBF;17090;19.7
Share-VOPM;46570;10.32
Share-MSWM;14480;2.91
Share-TPPD;22770;15.55
Share-GDNC;45820;28.36
Share-OELG;33830;3.85
Share-HBXW;2730;20.92
Share-UYOE;38080;0.62
Share-VMPZ;24080;10.5
Share-GMUB;36800;17.7
Share-LCVT;6060;1.05
Share-KRMG;15220;31.68
Share-FYUX;3680;19.51
Share-DSJF;24720;2.94
Share-MCJZ;47050;6.57
Share-STKT;280;7.79
Share-FSTB;27280;12.6
Share-KQHE;21630;1.37
Share-MXKO;0;23.17
Share-JEHF;21920;1.56
Share-SKKC;24870;39.49
Share-RPNK;46370;3.24
Share-LZLU;12120;35.54
Share-ICYR;27210;5
Share-VOEF;32380;5.72
Share-LSBJ;39900;19.83
Share-HQIF;34880;15.13
Share-TWXB;26920;1.34
Share-HQHB;27010;23.97
Share-PYSY;26630;30.28
Share-JAGI;36360;35.92
Share-EYGW;46250;17.35
Share-OFCJ;10690;34.05
Share-WGNW;38880;24
Share-JNGS;-2730;22.22
Share-IETC;0;33.17
Share-BPBC;26550;15.5
Share-HIGA;5340;31.01
Share-JEAI;31060;29.46
Share-FNVN;9030;14.25
Share-AQZD;39100;32.4
Share-WBLU;39290;3.32
Share-HJFD;8610;16.15
Share-QSSK;29010;20.95
Share-WQLH;6750;1.55
Share-ALZI;9610;28.14
Share-CNVT;23780;33.52
Share-NJKY;30730;37.82
Share-QIID;29250;11.64
Share-CDSP;0;16.03
Share-BOZY;25860;13.2
Share-OTLF;34810;35.31
Share-TEET;43200;37.93
Share-GWMA;0;18.22
Share-HHFE;25900;23.95
Share-HERB;48280;12.13
Share-KKQW;21590;20.33
Share-FKJR;800;14.73
Share-LOKP;41040;39.17
Share-TZKX;44940;26.7
Share-DYJJ;21050;21.2
Share-DRRI;27640;20.85
Share-CFUF;34050;7.67
Share-MUFT;23380;19.1
Share-ZNKU;6960;38.77
Share-TOHR;25740;9.53
Share-ZSDE;15110;39.88
Share-AAZC;36780;18.71
Share-DSME;22620;16.53
Share-PWHJ;39650;8.51
Share-LUSV;19870;12.06
Share-YXVL;26620;22.79
Share-XLQD;39130;14.95
Share-WIBX;20580;25.98
Share-DXLL;0;28.11
Share-YYBB;39150;0.35
Share-COVF;30700;15.92
Share-GRSA;13000;34.88
Share-CKIZ;0;33.06
Share-BXEV;6700;33.58
Share-LSTK;14890;32.98
Share-GLOV;39920;9.35
Share-LYIZ;21790;23.22
Share-HQWX;6350;6.39
Share-KXYC;17180;15.71
Share-ANXT;13320;35.6
Share-OAOX;36300;31.47
Share-LGWG;31410;39.5
Share-VPPA;4090;2.15
Share-USDU;0;33.49
Share-FJZC;20640;30.34
Share-HCNK;13030;23.56
Share-WFZZ;29810;35.78
Share-DAQE;20970;10.87
Share-FYKQ;41060;38.75
Share-IPUP;26110;30.68
Share-XGXY;28390;36.2
Share-LVQC;41570;16.98
Share-PXVO;15370;20.19
Share-OVCD;31920;10.1
Share-WPLI;34640;39.91
Share-LJEO;40870;25.07
Share-PISF;20490;7.85
Share-ZQNA;28590;12.42
Share-EMNG;25210;4.2
Share-BJIF;10560;31.36
Share-QGUP;4450;20.44
Share-XUCG;12250;22.1
Share-RPNX;25110;4.58
Share-KCEB;38890;6.34
Share-KFOQ;26190;17.4
Share-FVNN;33930;31.26
Share-XZOD;12070;2.81
Share-GGKK;22150;11.56
Share-JPQM;10820;14.81
Share-WYJO;33730;31.99
Share-IAFR;30570;4.82
Share-MCBN;29500;16.75
Share-UFQB;23770;25.16
Share-ZHNO;24320;21.42
Share-MGXU;13500;38.27
Share-TUFN;10370;22.89
Share-NVVV;37440;7.52
Share-EPTB;21320;23.65
Share-WSEH;0;12.43
Share-ARYE;17620;14.41
Share-CGJM;17210;39.3
Share-ZJWM;26580;32.21
Share-XAZS;35020;29.32
Share-CPWU;37920;38.28
Share-UIMY;16520;1.83
Share-UKXZ;35190;7.27
Share-YMFX;24460;32.96
Share-MLNK;45740;27.66
Share-HJKI;9700;0.3
Share-PEVC;17510;1.87
Share-HDZP;3480;2.41
Share-GUTR;16500;15.85
Share-HPYJ;24880;19.82
Share-EXKV;0;27.83
Share-TVCG;15270;4.93
Share-DRZA;8240;17.26
Share-CYLI;18820;20.97
Share-LZSG;36540;18.45
Share-FTYA;19580;29.72
Share-QLMK;17380;39.49
Share-OLCM;31190;26.9
Share-WPCD;42550;34.32
Share-OSGU;42760;9.62
Share-BQLT;24120;13.38
Share-RKNE;3690;10.06
Share-VRIE;36950;32.22
Share-HBGI;40080;35.1
Share-VNFB;22880;20.99
Share-QSQG;8680;37.32
Share-CRZH;30010;34.82
Share-CXGC;21730;3.43
Share-ECAB;23090;32.33
Share-PUDT;10900;3.97
Share-KMEM;24350;33.9
Share-TCIP;22200;29.46
Share-CVPG;31650;17.69
Share-XDUU;30330;3.26
Share-VYWQ;33850;30.44
Share-GLAO;26860;26.56
Share-MAJJ;21120;6.47
Share-NVBN;21630;30.95
Share-XXBE;34620;1.17
Share-QTKW;29150;35.04
Share-YAFK;29930;21.64
Share-MVRZ;31330;7.6
Share-MLGM;10;18.86
Share-GUQG;36180;24.94
Share-QQGZ;3820;32.14
Share-VPMV;34120;9.71
Share-PNTD;15220;10.15
Share-MYPY;24110;21.97
Share-QMVF;4120;8.41
Share-UFXW;30730;12.44
Share-MOVT;19010;0.59
Share-RGMB;30200;31.47
Share-YGKX;28180;33.33
Share-QOGS;10560;12.33
Share-EMDG;17450;6.63
Share-SKUO;0;23.55
Share-NCIK;0;30.27
Share-OTAO;28290;20.29
Share-CIWC;13620;25.42
Share-DQRQ;36380;10.85
Share-XPMV;28120;37.48
Share-OBKH;12620;27.8
Share-MLDY;22610;21.33
Share-JCPU;24770;10.79
Share-OPSM;0;26.28
Share-JHTJ;44040;25.57
Share-UBRS;0;31.14
Share-XHQJ;11400;21.7
Share-QDWQ;17400;18.99
Share-OXSN;15680;4.53
Share-VNXO;24730;25.05
Share-EFWR;29320;1.82
Share-GZUU;13050;27.4
Share-LPGN;17140;15.14
Share-VHYI;48310;30
Share-FXBP;11870;28.86
Share-PLPK;18660;17.63
Share-OEDD;27560;21.18
Share-BMIQ;25200;34.16
Share-QINE;26500;37.18
Share-ITTV;29610;24.14
Share-QHTF;20530;15.63
Share-VBED;5320;15.37
Share-LTEB;37590;0.25
Share-OBVY;29010;2.54
Share-SHCI;14790;36.82
Share-VUSQ;47690;0.16
Share-BENA;23310;6.15
Share-BEQY;27960;37.91
Share-NQQC;38860;10.16
Share-RNXT;5140;28.45
Share-RIBY;15670;35.99
Share-HBPQ;23430;25.99
Share-BDME;25610;0.62
Share-FPVA;19720;18.67
Share-WVNM;24330;8.21
Share-MTFR;17850;29.93
Share-JGBU;21050;9
Share-IXFI;45040;17.55
Share-TMBL;19740;8.61
Share-PTYE;29580;8.13
Share-RDHG;37820;0.45
Share-TDWK;29000;14.57
Share-EVUW;4440;39.22
Share-HTJD;46960;28.99
Share-HHIZ;41580;15.58
Share-XBDW;26120;9.6
Share-PCHT;22240;24.96
Share-MOVE;12300;21.15
Share-HLYD;3400;12.43
Share-HIAN;35750;19.1
Share-YIOX;26120;9.22
Share-GRUT;498760;39.42
Share-UNHO;26100;3
Share-FKJW;21080;39.78
Share-WQMQ;16350;34.43
Share-TFVA;37160;37.69
Share-ARAY;21530;13.63
Share-AHQO;28180;15.38
Share-SNVL;20190;38.04
Share-VUTC;22420;10.32
Share-LAHI;38290;16.15
Share-YOET;33670;3.55
Share-LQHP;26140;4.73
Share-YPGY;16970;38.97
Share-NHRO;21770;7.48
Share-GERI;26260;25.32
Share-OQCA;27850;22.51
Share-XRRF;11130;13.29
Share-CVFX;31440;14.22
Share-GXSF;37200;37.15
Share-QUWM;29640;30.36
Share-VONS;47680;24.67
Share-UEZE;2930;29.39
Share-KFOG;2780;33.7
Share-UXBG;6080;34.58
Share-LNMC;13700;13.48
Share-WUWO;35810;20.15
Share-WBWX;27020;3.51
Share-SMUS;23920;33.62
Share-NNDP;15020;11.1
Share-GTQK;15400;39.95
Share-KEUJ;34500;17.23
Share-CVLS;2650;7.14
Share-TGAD;19060;18.58
Share-XZWG;10250;33
Share-VLOZ;33810;21.62
Share-JPRI;30540;30.15
Share-AFAJ;29120;34.82
Share-TRSF;36600;20.63
Share-CBLS;30380;10.95
Share-ZVEO;4780;6.35
Share-BYJX;22130;12.48
Share-RAOW;28240;6.94
Share-AZDM;27170;24.7
Share-IBVH;6040;22.03
Share-JKZM;5260;17.88
Share-QKDN;28550;39.21
Share-QRBH;17240;33.01
Share-HQVQ;17100;11.65
Share-CFML;18070;28.4
Share-AGPL;15870;15.17
Share-ZORL;43630;16.57
Share-DDRH;44610;23.06
Share-NUZX;19470;21.97
Share-AMYS;23480;6.08
Share-KQDZ;16020;38.42
Share-LQXO;35360;13.93
Share-TNCT;37360;18.23
Share-KFMR;11230;28.03
Share-HZKM;0;37.07
Share-NZMA;36610;22.14
Share-MJEL;17190;15.54
Share-RBXY;37090;31.65
Share-OZBN;5030;28.04
Share-VQOW;20310;37.12
Share-SCKQ;40890;36.29
Share-WYIT;24230;21.43
Share-QUQS;13430;36.39
Share-QKFA;8370;7.7
Share-EAIO;23780;37.86
Share-FHZN;6100;38.09
Share-QVQY;6530;15.23
Share-BZBC;18850;31.39
Share-SULM;29260;16.44
Share-LYRY;21560;16.08
Share-VNMM;0;16.96
Share-YRRO;12150;16.35
Share-USSR;25620;39.56
Share-AXIX;5730;33.7
Share-OBYV;16390;13.15
Share-DAVZ;21920;25.21
Share-MTLR;16490;39.97
Share-BXTP;4770;33.47
Share-AQOR;25450;35.47
Share-MKUX;48550;4.8
Share-SBMG;43850;24.85
Share-XOFE;33550;11.84
Share-KTYA;39180;25.4
Share-LKLG;0;36.41
Share-AZTU;5430;22.32
Share-DUET;34930;11.58
Share-AQKA;33580;22.08
Share-LPDM;39350;39.73
Share-GUCL;4640;12.1
Share-EBOY;35080;27.99
Share-ZPTK;11700;17.6
Share-ZRZK;15040;20.65
Share-ZRIV;0;7.19
Share-MVVG;16810;12.18
Share-ROHB;23750;30.7
Share-GNJC;29250;3.29
Share-YVCE;41500;24.53
Share-FMLL;29570;26.31
Share-NUAX;24420;35.44
Share-PJTN;0;20.73
Share-FQJZ;16410;20.04
Share-HYQP;7150;25.71
Share-NLPL;8450;22.64
Share-IQMC;350;2.81
Share-SJIV;26490;33.61
Share-OODL;5610;0.6
Share-UBYY;30300;20.12
Share-LPSQ;29440;36.73
Share-RSRH;26640;31.39
Share-WPTD;31350;10.62
Share-QGXD;38050;21.13
Share-BVQQ;9870;20.53
Share-PNBE;27300;10.85
Share-NYRP;23910;14.05
Share-GSGQ;3570;13.5
Share-QFOM;20240;17.61
Share-DWPD;16130;29.87
Share-IBSP;32780;29.57
Share-EJXB;9320;2.01
Share-UEZB;24870;39.43
Share-QXLZ;38150;23.07
Share-NWDK;33940;5.75
Share-XPQB;18490;26.41
Share-RNEE;15930;7.05
Share-BMWW;3650;31.45
Share-DLDY;2620;4.29
Share-EKHC;20220;23.58
Share-PSEN;10730;34.65
Share-BXWL;11080;28.8
Share-JEHD;20220;16.62
Share-HAKK;14670;1.78
Share-CQXK;42480;19.54
Share-NFHZ;28090;11.42
Share-VEOO;30850;23.97
Share-YQTP;27630;21.53
Share-APNK;33900;26.71
Share-FCIM;25840;32.99
Share-CWAN;21780;5.52
Share-ZGNB;17540;37.44
Share-WDYF;33550;27.54
Share-BRCC;48930;33.39
Share-OQKF;20360;25.37
Share-NOPE;33630;1.17
Share-ASGY;20470;22.18
Share-HBSR;25700;16.14
Share-CZIZ;39470;32.75
Share-MLUC;32690;28.29
Share-SGHI;30020;2.93
Share-CBUV;19300;21.75
Share-MOVJ;13760;23.48
Share-HAJM;6010;8.56
Share-IQQO;0;7.84
Share-OLMP;5320;35.86
Share-AUGU;20670;23.88
Share-DBFE;36630;33.34
Share-JEZT;24550;7.96
Share-GXSJ;19930;12.79
Share-XREJ;21240;4.51
Share-SALE;27250;33.45
Share-YSKI;0;24.41
Share-MYXT;23780;30.09
Share-WEOQ;4820;13.53
Share-NHWA;29180;39.77
Share-CYYC;420;5.88
Share-XINI;13230;26.15
Share-JHWR;15510;4.75
Share-HSOR;17870;17.02
Share-DXOW;24990;38.75
Share-UMIB;44930;35.08
Share-GYWT;38320;3.9
Share-RQJV;20730;31.27
Share-MHUT;30360;21.24
Share-FNZM;22380;34.75
Share-KPYM;19120;20.56
Share-IIUJ;41830;7.17
Share-DDUF;36490;11.67
Share-VGUF;28440;12.75
Share-THNO;31400;17.82
Share-YYEN;25730;4.43
Share-RZCT;18580;23.89
Share-QRVU;16960;35.36
Share-VFGQ;16360;23.61
Share-URAA;30910;25.18
Share-EBAM;29480;4.87
Share-EAAY;23250;32.93
Share-XFNL;44050;23.97
Share-UTUI;22780;31.75
Share-AIRL;7190;31.28
